story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"WHY THIS IS IMPORTANTOver 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy.Wyatt thinks that grass is brown. He thinks that the
    ocean is gray. He has gone 17 years of his life never seeing the
    true beauty of a sunset.Just imagine walking through a nature trail and seeing every
      green leaf on a tree as a dull,gray or brown color. Seeing a rose
      as so colorless,it may as well already be dead.I have had to partner with him multiple times in school projects
      because it calls for colors that he has never seen,and will never
      have a clue what they look like--that is,unless he receives these glasses.It would absolutely mean the world to me,and undoubtedly to
      Wyatt,if we could give him the gift of color for his 17th
      birthday. I would highly appreciate it if we all partnered
      together to give Wyatt that so incredibly special gift of the
      world. Any contribution means something,even something as simple
      as a share. Thank you so much.Check out these reactions",290,,https://fundrazr.com/11Jgd5,Give Wyatt the Earth's colors for his birthday!,4,"Nov 22, 2018",
"Могу ли добити вашу пажњу , и помоћи ? Патим од плућне емболије
    (плућни инфаркт). Тешка болест, са великом стопом смртности! Доживео
    сам је двапута до сада! У 2006. години и маја 2016 . Имам 39 година
    .Новац ми је потребан за лекове и наставак лечења. Свака помоћ је
    добродошла . Ваше мало, много значи за мене . Пуно хвала , СрђанMay I have your attention, and help? I suffer from a pulmonary
    embolism. I experienced twice! In 2006. and on may 2016. I am 39
    years old. I need money for medicine. Any help is appreciated. Your
    little, means a lot for me.Much obliged, Srdjan",340,,https://fundrazr.com/b189Y0,I need help,10,,
"WHAT IS ENCHROMA?Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy.Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our onlinecolor vision testto assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information pleaseread the FAQs, learn aboutthe Enchroma technology and story, orcontact customer support.Check out these reactions",280,,https://fundrazr.com/d1Lmu7,Help me get Enchroma glasses,8,,
"This is Jaymie. All who know her can agree she is a bright light in
  our community, a beautiful mother of two and a healer in her practice
  as a DOM. She has bravely navigated cancer treatments (both western
  and alternative) through to several remissions. Unfortunately the
  cancer is no longer in remission and she is now enduring more
  aggressive treatments. Jaymie has been incredibly strong and resilient
  but now she can use our help.We join her in Solidarity by shaving our heads at the point when hair
  loss from chemo forces her to shave her head. This is a huge show of
  moral support for Jaymie. Even better, we can have a ripple effect of
  financial support by gathering pledges for our individual head shaves
  from our wider communities.  Jaymie will use the funds that we raise
  to pay for her alternative treatments. Please consider participating
  in one way or another to give Jaymie the boost she needs in this
  immensely challenging time.If you would like to shave in solidarity with us, and spread the word
  to your community to collect pledges for your contribution of
  emotional support, let Rose (sierrose@gmail.com) or Graciela
    (peacefulchica@gmail.com) know of your interest,
  and we will set you up on the fund""razor"" and Facebook
  pages. We also plan to have a big head shaving get together soon 
  (tentatively planning sometime around the first week of June in
  Albuquerque).  To stay in the loop check out our Facebook page:https://www.facebook.com/fundraise4Jaymie/If you would like to cast a wider net, but are not ready to shave,
  please spread the word to your community about this event.  Thank you.",540,,https://fundrazr.com/b1M6g6,Solidarity Shave-a-Thon,10,"Jun 19, 2018",
"Hi! We are friends & colleagues ofMaricel
    Aquino, or Lheng (as she is called at home & by her
    close friends), or ""Mama Cel"" to most... a term of
    endearment which she earned while working as a registered nursein the Philippines & in Norway.""Nurse/ Mama Cel"", 41 years young, has been diagnosed
    with Stage 4 Lung Cancer.We are knocking on your good hearts to help aHEROin her battle. As a nurse, she took care of
    people, nursed them back to health, and even held their hands at the
    last moments of their life. Now, it is time we give back the love
    & care that our hero has unselfishly given to society.We are raising funds for her treatment and palliative care.Mama Cel has battled the Big C in several rounds for almost 2
    decades, and won.In 2006, she had mastectomy, chemotherapy and radiation toWIN vs Breast Cancer Stage 3B.In 2014, she had a big mass on her right chest (fist-size of
    male adult) which was surgically removed and wasBENIGN.In 2015, she had a little lump on her left breast, was operated
    and it wasBENIGN.Last Oct 2017, Mama Cel was diagnosed with lung cancer, stage 4.
    She took oral chemo meds, and went back to Norway, Dec 2017 &
    continued her oral chemo there.Feb 7, 2018 Mama Cel got her biopsy results:TRIPLE NEGATIVE
    DISEASE.In layman's term: MALIGNANT. :(She started having persistent lumbar pain and last March 2018,1 Liter of fluid was drained, after she rushed herself to the ER
    in Norway due to difficulty of breathing. She lived there alone (but
    with a few neighbouring good friends who have been her
    ""angels"" as well), & was already having a difficult
    time sleeping & moving around.Hence, the big decision to go back home. Even if the health care
    in Norway is free, it doesn't cover alternative medicine (Mama Cel
    is firm on not having IV chemo; and that was the only option offered
    there, and at an experimental stage at that); and no friends
    can replace the presence of family.This condition has deteriorated her quality of life: Pain Scale
    10/10, weight loss, difficulty in breathing.On May 2018, she was confined for 10 days at the PGH (Philippine
    General Hospital) due to pleural effusion: 3 liters of fluid had to
    be drained via chest tube and pleurodesis done after.The cost of procedures, hospitalization expenses, palliative
    care and rounds of integrative treatment are exhausting Nurse Mama
    Cel's and family's savings.Your constant & fervent prayers, and your donation will help
    her win her battle against cancer once more. Thank you for caring
    and sharing! :)","2,585",,https://fundrazr.com/71M4ge,Help Nurse/Mama Cel Win Her Battle Against Cancer,47,"Jun 13, 2018",
"WHAT IS ENCHROMA?Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy.Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our onlinecolor vision testto assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information pleaseread the FAQs, learn aboutthe Enchroma technology and story, orcontact customer support.Check out these reactions",200,,https://fundrazr.com/61Luid,Get Ethan EnChroma Glasses !,8,,
"Our daughter Hannah was born with 2 very rare diseases 1 called C.A.H
  and the other called Spinal Muscular Atrophy, which works to rob her
  of her ability to move, breath and, eventually, live. There is a drug
  that can stop this disease. It has just approved it. But accessing it
  costs $177,000, and the process of our drug plan won’t be ready for
  another year. That’s a year that our little girl can’t afford to wait.
  It would be a year of vulnerability and loss.But with your
  help, we believe we can turn it into a year of miracles!Let me
  tell you the rest of our story.Spinal Muscular Atrophy (SMA) has
  become our daily life. It’s the genetic condition most likely to kill
  children under six years of age, and our daughter has it. It’s a
  progressive lower motor neuron disease, that is loosely paralleled to
  adult ALS. But there are significant differences: most notably, SMA
  never affects cognition, so our daughter is as bright and keen as any
  other child her age.At 14 months, Hannah took her first 3 steps. She has never walked
  since then. After those first steps, she lost any strength to walk,
  then strength to pull up to stand, and then the strength to crawl. She
  can barely get from a lying position to a sitting position. Hannah is
  our mature little scholar! But she is completely dependant on us for
  dressing, toileting, and getting her in her wheelchair.But those
  things aren’t the worst. She is at an extreme risk of respiratory
  failure. Every single simple cold/viral infection is a threat. At
  least three times a year these infections strike hard enough to send
  her to the hospital. As a parent, I weep and get nauseous just
  thinking about this. I don’t want to think about what the next year
  could hold for her.But the amazing thing is that it doesn’t have
  to be that kind of year for our little girl.For over two decades
  the gene responsible for SMA has been known but there has not been a
  single available treatment. This past summer the first drug in history
  to specifically treat SMA was approved ! It is called Spinraza
  (Nusinersen). It can completely halt SMA in its path and even lead to
  some GAIN in muscle strength!This drug truly is a miracle, and
  we need our daughter on it as soon as possible.Though it’s
  approved Spinraza won’t be available on our drug plans for another
  year. It costs $177,000 to provide a year’s supply for Hannah 3 vials
  . The manufacturer, Biogen, will sell it directly to families willing
  to pay for it.This treatment WILL stop Hannah's respiratory deterioration, keep her
  hands strong, and prevent future problems in her spine that would
  require surgery.And we don’t even know what gains it might provide.
  Instead of a year of atrophy it can become a year of miracles! But we
  need your help. We do everything we can for our little girl but we
  can’t do this alone. We need to raise $177,000.Please join us
  on our journey and help to make this a year of miracles for Hannah","2,959",,https://fundrazr.com/HannahsHeroes,Hannah's Heroes,67,,
"Hello!My name is Yvonne Foong, I was diagnosed with Neurofibromatosis type
  2 when I was 16 years old with hearing and vision damaged. It causes
  tumours to grow anywhere in my brain, along with the spinal cords and
  peripheral nerves. So far I have had 20 different surgeries to safely
  remove the tumours whenever needed to preserve my life.In the end of 2017, I need to undergo surgery again to remove
  multiple large tumours called schwannoma from both my arms. They have
  made my fingers and hands increasingly numb. If they are not carefully
  removed, they can paralyze my arms.I cannot become incapacitated, my mother will be helpless if I lose
  the ability to take care of myself. Last year, I had brain surgery at
  the US NIH, the surgery was done well. However, I was not taken cared
  of well in the ward. My vision became damaged as a result, I have had
  to adapt by getting help from people to do my work and in order to
  stay productive, while my mother started having to prepare my daily
  living needs despite her advanced age.  So I must go for surgery with
  doctors who can do better to save my arms before it is too late.Some brief details about the surgery:Where: St Vincent Medical Center, Los Angeles.By Who: Dr. Gregory P Lekovic, Neurosurgeon.For Malaysian supporter, you may contribute to my local bank account:Name:  Foong Ming NiangPublic Bank Berhad:  6887203135or you may also watch the video below to understand my family
  background and why I must preserve my ability to live independently.http://www.worksofgratitude.com/iv.htmlThank youYvonne Foong","12,302",,https://fundrazr.com/savemyarm,Please help to save Yvonne,147,"Jul 1, 2018",
"HOW IT ALL STARTED AND THE CANCER DIAGNOSISMy husband, Poh Teik “Jack” Teoh, age 63, was diagnosed with
    Stage 4 skin cancer in September 2017.  The cancer has spread to his
    spine and ribs and has severely weakened his body in ways that are
    distressing and heart-breaking for us both.The cancer started out as a very small growth on Jack’s right
    ear. It was initially diagnosed as a fungus infection and treated
    successfully with anti-fungal medication in the USA in the spring of
    2015.  In November of 2015, with great health and high expectations,
    we decided to follow our ultimate dream and set-up an import/export
    business in Penang, Malaysia; my husband’s birthplace.In Malaysia, the growth on Jack’s ear
    gradually came back so we sought medical help. The first doctor
    diagnosed the growth as cancerous. He recommended amputating the
    whole ear and scraping off the brain tissue surrounding the ear
    followed by plastic surgery to make a new ear.  We immediately
    sought a second opinion as the growth was very small. To us and many
    others this surgical solution was too severe and Jack’s overall
    health was excellent. The second doctor recommended a series of
    stronger medications including chemo pills. We followed this
    treatment and managed to keep the growth under control. We expected
    the growth would vanish just as it did in the USAIn early 2017 my husband started to
    feel weak off and on with intermittent and sometimes indescribable
    pain. Jack managed to control the pain with prescribed medication
    and his own sheer will. We continued to work very hard at full speed
    to launch our import business, putting in our best effort with full
    enthusiasm to make our dreams come true.  Then in August, Jack
    suddenly became extremely weak, he lost his appetite completely and
    the growth started to spread at an alarming rate.   That’s when I
    admitted Jack into Mount Miriam Cancer Hospital here in Penang,
    Malaysia; an excellent hospital with a phenomenal medical staff. I
    moved into Jack’s hospital room the day he was admitted and have not
    left his side since.For the full medical diagnosis see the letter written by
      Jack’s doctor (Dr. Ho) below:THE REMARKABLE JOURNEY OF THE COME-BACK KID – THE FIRST 2
      MONTHS AT MOUNT MIRIAM CANCER HOSPITALDue to the excellent care at Mount Miriam Cancer
    Hospital, in addition to Jack’s inimitable strength and fighting
    spirit, Jack has been able to consistently beat all odds and triumph
    over some very serious health issues. In early September, a few days
    after his first chemo infusion, he suffered a heart attack.
    Amazingly, Jack recovered and prevailed with willingness and
    strength. Just three weeks after his heart attack, Jack decided to
    continue the chemo (in a more gentler form) to resume his fight
    against his cancer.Due to a rapid loss of muscle mass and strength since August,
    Jack no longer has the strength to stand up on his own. He can only
    walk a short distance in our hospital room with a walker and the
    assistance of a therapist.  My husband is bound to the bed most of
    the time. He barely has enough strength to practice learning how to
    walk again.  But despite the severity of Jack’s condition, and the
    utter frustration he endures, he never fails to inspire others, make
    the doctors and nurses smile as they admire his remarkable strength
    and positivity.After the 4th chemo infusion on October 25th, Jack developed
    an infection that hit him fast and fierce. His oxygen levels dropped
    dramatically and he had extreme difficulty breathing. He was headed
    for the Intensive Care Unit at another hospital but thankfully the
    medical staff at Mount Miriam got the infection under control
    quickly and stabilized Jack beautifully.  Jack took a brief break
    from the chemo and agreed to resume the treatments on November 10th.
    As Jack said: “there is more positive than negative” and he chooses
    to continue what’s working for him and face every battle head-on.Dr. Ho & JackMedical AttentionELLEN & JACK: MEANT TO BE TOGETHER FOREVERBorn in the USA, I grew up Mountain
    Lakes, New Jersey and my husband Jack is from Malaysia.  We met in
    New Jersey in 2003 when Jack was living and working in New York. 
    From the very first day I met Jack he was always robust and full of
    life. He woke up every morning like it was Christmas, just like a
    child.  Jack is like a magnet, he’s irresistible, pulling people in
    with his charisma and zany sense of humour.  But what stole my heart
    is his heart. I have never met a person as self-less as my husband.
    He is someone I can trust with all my heart to do the right thing
    for anyone in any situation. Jack is a leader with a big heart; some
    would say a true warrior.  It’s absolutely heart-wrenching for me to
    see my husband suffer and become so weak and frail in such a short
    period of time.  He has spent a lifetime generously helping others
    and now is in great need himself.  I ask you to please help me help
    my husband, so he can beat this cancer and we can continue our lives
    as one.  This journey of recovery and healing will take time, but we
    both have a deep, enduring faith that we will prevail with the
    continuation of the excellent medical care at Mount Miriam Cancer Hospital.Jack and me 2005HELP NEEDED WITH MEDICAL EXPENSESMonthly Medical Expenses at Mount
    Miriam Cancer Hospital Averages $7205.50 USDDue to the onset of Jack’s illness,
    the launching of our business was cut short, so we are not
    generating any income.  Due to my husband’s fragile and
    unpredictable condition, I am with him around the clock to make sure
    his special and urgent needs are met. Jack is not in an intensive
    care unit, but still requires my watchful presence so if/when and
    emergency arises he gets immediate medical attention.  Sometimes
    it's a matter of seconds that will determine someone's fate as it
    was when I alerted the medical staff of his extraordinary high fever
    and severe difficulty in breathing.With neither one of us working,
    continuing to pay for Jack’s medical expenses and our basic but
    essential living expenses is an impossibility without the help of
    others. Not until Jack is stable enough for me to leave his side can
    I resume the full-time re-launch of our import business.Not having medical insurance, we have
    received some financial help from the hospital’s social welfare
    department. However, it’s not enough and I am not sure if it will
    continue. Witnessing my husband go through periods of anguish and
    taking care of him can be very stressful and exhausting. With your
    kind consideration and help, our financial stress can be alleviated.
    Your generosity would allow me to brave this journey with less
    pressure and more strength to support my husband with his medical
    and personal needs. Your financial help, and the spreading of my
    campaign on your social network, will be forever appreciated because
    I simply cannot do this alone.  Thank you ever so much.It’s very difficult to determine when
    Jack will be discharged and continue his treatments as an
    out-patient either from home or a step-down facility.  Just when it
    looks like a discharge is nearing, he has another set-back that
    requires intensive hospital care.  With more chemo on the way, I
    just don’t know what to expect and how his body will respond. We
    take it week by week, day by day.Jack started a 12-week course of chemo on September 29th.
    After he finished his 4th infusion on October 20th he had a set-back
    due to a serious infection but resumed his infusions on November
    10th. He recently finished his 6th chemo but is taking a break to
    garner some strength and a better appetite before he does the 7th
    chemo.  After this 12-week course is finished, there will be a
    reassessment and break before the next chemo course starts.  Then,
    after 6 months of chemo infusions there will be another reassessment
    to determine the next phase of treatment, which may include radiation.At this point in time, it’s impossible to determine our
    medical and living expenses after discharge. It all depends on how
    stable and self-sufficient Jack is at that time. I do know that it
    will take some time, months, for him to regain the strength
    necessary to walk on his own again.  If Jack is not re-admitted into
    the hospital, we will be looking at the following expenses.This is the best approximation I can give at this time:MEDICAL EXPENSES AFTER DISCHARGE FROM MOUNT MIRIAM CANCER HOSPITALLive-in, Step-down Facility with Medical Care and Physical
    Therapy:   $1,125.00 USD per month(a step-down facility if
  necessary, or Jack can do his out-patient from home)Basic Medical Supplies Needed at Home:  $436.00 USD
  min(wheelchair, walker, commode, air cushion mattress)Monthly Physical Therapy & Visiting Nurse at Home: 
    $705.00 USDMonthly Out-Patient Expenses at Mount Miriam Hospital:approximate range of $1,143.00 to $2,755.00
  USD(doctor appointments, blood tests, chemo infusions,
  blood transfusions, ear dressings, medications)10 Course Treatment of Radiation:  $2,000 USDWhen a donation is made, the money will be accepted by PayPal
    and then deposited into my USA bank checking account.  With my USA
    checking account debit card, I can pay for Jack’s medical expenses
    here at Mount Miriam Cancer Hospital.  From my Malaysian bank, I can
    also withdraw cash (in the form of Malaysian Ringgits) from my USA
    checking account and this will help me with our essential living
    expenses (apartment rent, utilities, food and transportation).The following fees are deducted from each donation (USA &
    Canada):Fundrazr : 5%PayPal: 2.9% + $0.30Total
    deducted from each donation:  7.9% + $0.30International fees:  Fundrazr 5%  &  PayPal 4.3% to 4.5% + $0.30Calling on all Angels with a giving
    heart. Due to my desperate situation, this is the first time I have
    ever done a fundraiser.  As my social network is small, I would
    greatly appreciate your help in sharing my campaign.  I just do not
    know what lies ahead in medical expenses, it’s very hard to predict.
    The hospital has been understanding of my financial situation but
    does expect a significant payment every 2 to 3 weeks.I greatly appreciate your kind consideration in supporting me
    & donating to the best of your ability in this critical
    situation.  Thank you all so very much.With Great Appreciation & Love,Ellen","15,350",,https://fundrazr.com/HelpEllenSupportJack,Bridge Over Troubled Water for Jack,101,,
"The Human Microbiome Project and other microbiome projects worldwide
  have laid an important foundation for understanding the trillions of
  microbes that inhabit our bodies and their impact on health and
  disease. However, opportunities for the public to get involved in such
  research have been limited. Now, American Gut gives you an opportunity
  to join this research project and learn what’s living on and inside you!American Gut is a project built on open-source, open-access
  principles. The data we collect is de-identified and then deposited
  into open repositories for the benefit of other researchers and scientists.Join the project!Joining is simple! Select the kit you would like from the list of
  options on the left-hand side by clicking “Claim this perk”. Your kit
  will be sent via mail within 2 weeks after payment.  Once you have
  followed the instructions outlined in the provided manual, mailed your
  sample back, it will take about 3 months to receive results.International participants are also welcome to join. However, please
  note that a $25 shipping fee does apply (which you can include when
  you contribute and claim a perk). We ask that samples be sent back to
  our lab within 48-72 hours. The cost of expedited shipping to our lab
  in the US from some locations can be expensive, so it is also
  recommended that you look into the cost of return shipping.If you are currently residing in Europe, visit our sister site theBritish Gutto join this
  research project.A few important points to remember before joining this
    research project:1. Note your de-identified information will be part of a research
  study and will be made available in a publicly available research
  database. That is, any personal information that might easily identify
  who you are will be removed before being placed in the public database.2. If you decide that you no longer wish to continue in this study,
  you will be requested to contact the American Gut Project help line
    (info@americangut.org) to inform us of your intent
  to withdraw. You may request a refund within 50 days of your original
  payment if you have not yet used your kit. Please note that the
  Fundrazr transaction fee will be deducted from your refund.3. The consent forms are maintained on the participant website;
  details are included in your kit. To sign the consent form, you must
  agree to use an electronic format for your signature in accordance
  with the United States' eSIGN Act and California's UETA Act. You have
  the right to obtain the electronic record in a non-electronic form.4. The results you receive from submitting a sample are not meant to
  act as medical or health diagnoses. We will not be able to provide any
  clinical or medical advice/information based on your results.You may find a full overview of the project athttp://humanfoodproject.com/americangut/, or visit
  us atwww.americangut.org.","1,682,612",,https://fundrazr.com/americangut,American Gut,,,
